[Sun Oct 26 23:02:30.059433 2014] [authz_core:error] [pid 5500:tid 840] [client 127.0.0.1:50082] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Sun Oct 26 23:02:30.075033 2014] [authz_core:error] [pid 5500:tid 836] [client 127.0.0.1:50083] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Sun Oct 26 23:02:30.090633 2014] [authz_core:error] [pid 5500:tid 828] [client 127.0.0.1:50084] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Sun Oct 26 23:10:06.650229 2014] [authz_core:error] [pid 3612:tid 840] [client 127.0.0.1:49186] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:06.665829 2014] [authz_core:error] [pid 3612:tid 824] [client 127.0.0.1:49188] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:06.665829 2014] [authz_core:error] [pid 3612:tid 832] [client 127.0.0.1:49187] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:20.737054 2014] [authz_core:error] [pid 3612:tid 840] [client 127.0.0.1:49189] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:20.752654 2014] [authz_core:error] [pid 3612:tid 840] [client 127.0.0.1:49189] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:20.752654 2014] [authz_core:error] [pid 3612:tid 824] [client 127.0.0.1:49190] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:30.088264 2014] [authz_core:error] [pid 3612:tid 824] [client 127.0.0.1:49191] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:30.090264 2014] [authz_core:error] [pid 3612:tid 840] [client 127.0.0.1:49192] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:30.090264 2014] [authz_core:error] [pid 3612:tid 832] [client 127.0.0.1:49193] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Sun Oct 26 23:10:34.712529 2014] [authz_core:error] [pid 3612:tid 840] [client 127.0.0.1:49192] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Sun Oct 26 23:10:34.712529 2014] [authz_core:error] [pid 3612:tid 832] [client 127.0.0.1:49193] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Sun Oct 26 23:10:34.721529 2014] [authz_core:error] [pid 3612:tid 824] [client 127.0.0.1:49191] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 14:55:51.693775 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49347] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:55:51.752778 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49349] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:55:51.819782 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49350] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:56:18.897930 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49352] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:18.974934 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49352] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:18.974934 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49351] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:18.975934 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49352] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:18.976934 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49353] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:19.027937 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49353] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:37.597999 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49355] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:56:37.598999 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49356] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:56:37.600000 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49355] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 14:56:40.593171 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49355] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:40.596171 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49355] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:40.596171 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49356] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:40.597171 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49354] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 14:56:40.601171 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49357] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Tue Feb 03 15:01:44.149533 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49360] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:01:44.151533 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49359] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
